"CODIGO_TUSS";"Termo_TUSS";"Grau_Equivalencia";"CODIGO_SUS";"PROCEDIMENTO_SUS"
"30207070";"Fratura do arco zigomático - redução cirúrgica com fixação";"1";"404020704";"OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO"
"30207215";"Retirada dos meios de fixação (na face)";"2";"404020631";"RETIRADA DE MEIOS DE FIXAÇÃO MAXILO-MANDIBULAR"
"30207231";"Redução de luxação do ATM";"2";"404020615";"REDUÇÃO DE LUXAÇÃO TÊMPORO-MANDIBULAR"
"30208033";"Osteotomias alvéolo palatinas";"2";"404020488";"OSTEOTOMIA DAS FRATURAS ALVEOLO-DENTÁRIAS"
"30208106";"Reconstrução parcial da mandíbula com enxerto ósseo";"2";"404020739";"RECONSTRUÇÃO PARCIAL DE MANDÍBULA / MAXILA"
"30208114";"Reconstrução total de mandíbula com prótese e ou enxerto ósseo";"2";"404020780";"RECONSTRUÇÃO TOTAL DE MANDÍBULA/MAXILA"
"30208122";"Tratamento cirúrgico de anquilose da articulação têmporo-mandibular";"1";"404020640";"TRATAMENTO CIRÚRGICO DE ANQUILOSE DA ARTICULAÇÃO TÊMPORO-MANDIBULAR"
"30211042";"Hemimandibulectomia ou ressecção segmentar ou seccional da mandíbula";"2";"416030300";"MANDIBULECTOMIA PARCIAL EM ONCOLOGIA"
"30211050";"Mandibulectomia total";"2";"416030319";"MANDIBULECTOMIA TOTAL EM ONCOLOGIA"
"30212030";"Esvaziamento cervical radical (especificar o lado)";"2";"406020248";"LINFADENECTOMIA RADICAL CERVICAL UNILATERAL"
"30212065";"Exérese de cisto branquial";"1";"401020061";"EXERESE DE CISTO BRANQUIAL"
"30212073";"Exérese de cisto tireoglosso";"1";"401020096";"EXERESE DE CISTO TIREOGLOSSO"
"30212090";"Linfadenectomia profunda";"1";"406020205";"LINFADENECTOMIA PROFUNDA"
"30212103";"Linfadenectomia superficial";"1";"406020299";"LINFADENECTOMIA SUPERFICIAL"
"30212146";"Ressecção de tumor de corpo carotídeo";"2";"416030343";"RESSECCAO DE TUMOR GLOMICO EM ONCOLOGIA"
"30212170";"Torcicolo congênito - tratamento cirúrgico";"1";"408030755";"TRATAMENTO CIRURGICO DE TORCICOLO CONGENITO"
"30213029";"Bócio mergulhante: extirpação por acesso cérvico-torácico";"2";"402010019";"EXTIRPACAO DE BOCIO INTRATORACICO POR VIA TRANSESTERNAL"
"30213045";"Tireoidectomia parcial";"1";"402010035";"TIREOIDECTOMIA PARCIAL"
"30213053";"Tireoidectomia total";"1";"402010043";"TIREOIDECTOMIA TOTAL"
"30215013";"Cranioplastia";"1";"403010012";"CRANIOPLASTIA"
"30215021";"Craniotomia descompressiva";"1";"403010020";"CRANIOTOMIA DESCOMPRESSIVA"
"30215030";"Craniotomia para tumores ósseos";"2";"403030056";"CRANIECTOMIA POR TUMOR OSSEO"
"30215048";"Reconstrução craniana ou craniofacial";"1";"403010144";"RECONSTRUCAO CRANIANA / CRANIO-FACIAL"
"30215056";"Retirada de cranioplastia";"2";"403010179";"RETIRADA DE PLACA DE CRANIOPLASTIA"
"30215080";"Tratamento cirúrgico da fratura do crânio - afundamento";"1";"403010268";"TRATAMENTO CIRURGICO DE FRATURA DO CRANIO COM AFUNDAMENTO"
"30215099";"Tratamento cirúrgico da osteomielite de crânio";"1";"403010322";"TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO"
"30301017";"Abscesso de pálpebra - drenagem";"1";"405010044";"DRENAGEM DE ABSCESSO DE PALPEBRA"
"30301025";"Biópsia de pálpebra";"1";"201010356";"BIOPSIA DE PALPEBRA"
"30301033";"Blefarorrafia";"2";"405010176";"SUTURA DE PALPEBRAS"
"30301084";"Correção cirúrgica de ectrópio ou entrópio";"1";"405010010";"CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO"
"30301122";"Epilação";"2";"405010052";"EPILACAO A LASER"
"30301130";"Epilação de cílios (diatermo-coagulação)";"1";"405010060";"EPILACAO DE CILIOS"
"30301157";"Lagoftalmo - correção cirúrgica";"1";"405040016";"CORRECAO CIRURGICA DE LAGOFTALMO"
"30301165";"Pálpebra - reconstrução parcial (com ou sem ressecção de tumor)";"2";"405010125";"RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA"
"30301173";"Pálpebra - reconstrução total (com ou sem ressecção de tumor) - por estágio";"2";"405010133";"RECONSTITUICAO TOTAL DE PALPEBRA"
"30301181";"Ptose palpebral - correção cirúrgica - unilateral";"1";"405040202";"TRATAMENTO DE PTOSE PALPEBRAL"
"30301238";"Sutura de pálpebra";"1";"405010176";"SUTURA DE PALPEBRAS"
"30301262";"Triquíase com ou sem enxerto";"1";"405010192";"TRATAMENTO CIRURGICO DE TRIQUIASE C/ OU S/ ENXERTO"
"30301270";"Xantelasma palpebral - exérese - unilateral";"1";"405040199";"TRATAMENTO CIRURGICO DE XANTELASMA"
"30302048";"Exenteração de órbita";"1";"405040083";"EXENTERACAO DE ORBITA"
"30302099";"Microcirurgia para tumores orbitários";"1";"403030137";"MICROCIRURGIA PARA TUMOR DE ORBITA"
"30302102";"Reconstituição de paredes orbitárias";"1";"405040164";"RECONSTITUICAO DE PAREDE DA ORBITA"
"30302110";"Reconstrução parcial da cavidade orbital - por estágio";"1";"405040156";"RECONSTITUICAO DE CAVIDADE ORBITÁRIA"
"30302129";"Reconstrução total da cavidade orbital - por estágio";"1";"404020224";"RECONSTRUÇÃO TOTAL DE CAVIDADE ORBITÁRIA"
"30303028";"Biópsia de conjuntiva";"1";"201010097";"BIOPSIA DE CONJUNTIVA"
"30303060";"Pterígio - exérese";"2";"405050364";"TRATAMENTO CIRURGICO DE PTERIGIO"
"30303079";"Reconstituição de fundo de saco";"2";"405050224";"RECONSTITUICAO DE FORNIX CONJUNTIVAL"
"30303087";"Sutura de conjuntiva";"1";"405050291";"SUTURA DE CONJUNTIVA"
"30303109";"Tumor de conjuntiva - exérese";"1";"405050089";"EXERESE DE TUMOR DE CONJUNTIVA"
"30304016";"Cauterização de córnea";"1";"405050038";"CAUTERIZACAO DE CORNEA"
"30304032";"Corpo estranho da córnea - retirada";"1";"405050259";"RETIRADA DE CORPO ESTRANHO DA CORNEA"
"30304059";"Recobrimento conjuntival";"1";"405050216";"RECOBRIMENTO CONJUNTIVAL"
"30304067";"Sutura de córnea (com ou sem hérnia de íris)";"1";"405050305";"SUTURA DE CORNEA"
"30304083";"Implante de anel intra-estromal";"1";"405050143";"IMPLANTE INTRA-ESTROMAL"
"30305012";"Paracentese da câmara anterior";"1";"405050208";"PARACENTESE DE CAMARA ANTERIOR"
"30305020";"Reconstrução da câmara anterior";"1";"405050232";"RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO"
"30305047";"Retirada de corpo estranho da câmara anterior";"1";"405050240";"RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR DO OLHO"
"30306043";"Facectomia sem implante";"1";"405050100";"FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR"
"30307074";"Retirada de corpo estranho do corpo vítreo";"2";"405050240";"RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR DO OLHO"
"30307082";"Retirada de óleo de silicone via pars plana";"2";"405030223";"REMOÇÃO DE OLEO DE SILICONE"
"30307112";"Vitrectomia anterior";"1";"405030134";"VITRECTOMIA ANTERIOR"
"30307120";"Vitrectomia vias pars plana";"2";"405030142";"VITRECTOMIA POSTERIOR"
"30308011";"Biópsia de esclera";"1";"201010186";"BIOPSIA DE ESCLERA"
"30308038";"Sutura de esclera";"1";"405030096";"SUTURA DE ESCLERA"
"30308046";"Exérese de tumor de esclera";"2";"405030126";"TRATAMENTO CIRURGICO DE NEOPLASIA DE ESCLERA"
"30310059";"Drenagem de descolamento de coróide";"2";"405030207";"DRENAGEM DE HEMORRAGIA DE COROIDE"
"30310067";"Fototrabeculoplastia (laser)";"1";"405050127";"FOTOTRABECULOPLASTIA A LASER"
"30310083";"Iridectomia (laser ou cirúrgica)";"1";"405050178";"IRIDECTOMIA CIRURGICA"
"30310091";"Iridociclectomia";"1";"405050186";"IRIDOCICLECTOMIA"
"30312019";"Aplicação de placa radiativa episcleral";"1";"405030010";"APLICACAO DE PLACA RADIOATIVA EPISCLERAL"
"30312043";"Fotocoagulação (laser) - por sessão  - monocular";"2";"405030193";"PAN-FOTOCOAGULAÇÃO DE RETINA A LASER"
"30312078";"Remoção de implante episcleral";"1";"405030231";"REMOÇÃO DE IMPLANTE EPISCLERAL"
"30312086";"Retinopexia com introflexão escleral";"1";"405030070";"RETINOPEXIA C/ INTROFLEXAO ESCLERAL"
"30312094";"Retinopexia pneumática";"1";"405030215";"RETINOPEXIA PNEUMATICA"
"30313031";"Dacriocistorrinostomia com ou sem intubação - unilateral";"2";"405010036";"DACRIOCISTORRINOSTOMIA"
"30313040";"Fechamento dos pontos lacrimais";"2";"405010109";"OCLUSAO DE PONTO LACRIMAL"
"30313058";"Reconstituição de vias lacrimais com silicone ou outro material";"2";"405010117";"RECONSTITUICAO DE CANAL LACRIMAL"
"30313066";"Sondagem das vias lacrimais - com ou sem lavagem";"1";"405010168";"SONDAGEM DE VIAS LACRIMAIS"
"30313074";"Reconstituição de pontos lacrimais";"2";"405010206";"PUNCTOPLASTIA"
"30401011";"Biópsia de pavilhão auricular";"1";"201010364";"BIOPSIA DE PAVILHAO AURICULAR"
"30401097";"Ressecção subtotal ou total de orelha";"2";"416030327";"RESSECÇÃO DE PAVILHÃO AURICULAR EM ONCOLOGIA"
"30401100";"Tratamento cirúrgico de sinus pré-auricular";"1";"401020150";"TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR"
"30402069";"Estenose de conduto auditivo externo - correção";"2";"404010385";"TRATAMENTO CIRURGICO DE ESTENOSE DO CONDUTO AUDITIVO"
"30402077";"Furúnculo - drenagem (ouvido)";"2";"404010075";"DRENAGEM DE FURUNCULO NO CONDUTO AUDITIVO EXTERNO"
"30402085";"Pericondrite de pavilhão - tratamento cirúrgico com desbridamento";"2";"404010393";"TRATAMENTO CIRURGICO DE PERICONDRITE DE PAVILHAO"
"30403030";"Estapedectomia ou estapedotomia";"1";"404010105";"ESTAPEDECTOMIA"
"30403065";"Glomus jugular - ressecção";"1";"404010547";"RESSECÇÃO DO GLOMO JUGULAR"
"30403073";"Glomus timpânicus - ressecção";"1";"404010288";"RESSECCAO DE GLOMO TIMPANICO"
"30403154";"Timpanotomia para tubo de ventilação - unilateral";"1";"404010369";"TIMPANOTOMIA P/ TUBO DE VENTILACAO"
"30404061";"Implante coclear (exceto a prótese)";"1";"404010148";"IMPLANTE COCLEAR"
"30404134";"Tumor do nervo acústico - ressecção via translabiríntica ou fossa média";"2";"404010539";"RESSECÇÃO DE TUMOR DO ACÚSTICO (PELA FOSSA MEDIA)"
"30501040";"Alongamento de columela";"1";"404020011";"ALONGAMENTO DE COLUMELA"
"30501059";"Biópsia de nariz";"2";"201010399";"BIOPSIA DE PIRAMIDE NASAL"
"30501075";"Corneto inferior - infiltração medicamentosa (unilateral)";"1";"404010156";"INFILTRACAO MEDICAMENTOSA EM CORNETO INFERIOR"
"30501229";"Fraturas dos ossos nasais - redução cirúrgica e gesso";"2";"404020542";" REDUÇÃO CIRÚRGICA DE FRATURA DOS OSSOS PRÓPRIOS DO NARIZ"
"30501261";"Ozena - tratamento cirúrgico";"2";"404010407";"TRATAMENTO CIRURGICO DE RINITE CRONICA (OZENA)"
"30501270";"Perfuração do septo nasal - correção cirúrgica";"2";"404010504";"TRATAMENTO CIRÚRGICO DE PERFURAÇÃO DO SEPTO NASAL"
"30501377";"Sinéquia nasal - ressecção unilateral - qualquer técnica";"2";"404010296";"RESSECCAO DE SINEQUIAS"
"30501385";"Tratamento cirúrgico da atresia narinária";"1";"404020348";"TRATAMENTO CIRÚRGICO DE ATRESIA NARINÁRIA"
"30501393";"Tratamento cirúrgico de deformidade nasal congênita";"2";"404030130";"RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL"
"30501407";"Tratamento cirúrgico do rinofima";"1";"404010555";"TRATAMENTO CIRÚRGICO DE RINOFIMA"
"30501423";"Tratamento de deformidade traumática nasal";"2";"404020321";"RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS"
"30501458";"Turbinectomia ou turbinoplastia - unilateral";"2";"404010415";"TURBINECTOMIA"
"30502020";"Antrostomia maxilar intranasal";"1";"404010440";"ANTROSTOMIA DE MAXILA INTRANASAL"
"30502063";"Descompressão transetmoidal do canal óptico";"2";"405040040";"DESCOMPRESSAO DE NERVO OPTICO"
"30502144";"Maxilectomia parcial";"1";"404020178";"MAXILECTOMIA PARCIAL "
"30502152";"Maxilectomia total";"2";"416030181";"MAXILECTOMIA TOTAL EM ONCOLOGIA"
"30502179";"Punção maxilar transmeática ou via fossa canina";"2";"404010261";"PUNCAO TRANSMEATICA DO SEIO MAXILAR (UNILATERAL)"
"30502195";"Biópsia de seios paranasais - qualquer via";"1";"201010445";"BIOPSIA DE SEIO PARANASAL"
"30502250";"Sinusotomia esfenoidal";"1";"404010334";"SINUSOTOMIA ESFENOIDAL"
"30601029";"Costectomia";"1";"412040018";"COSTECTOMIA"
"30601037";"Esternectomia subtotal";"1";"412040034";"ESTERNECTOMIA SUBTOTAL"
"30601045";"Esternectomia total";"2";"412040026";"ESTERNECTOMIA COM OU SEM PRÓTESE"
"30601053";"Fechamento de pleurostomia";"1";"412030047";"FECHAMENTO DE PLEUROSTOMIA"
"30601070";"Mobilização de retalhos musculares ou do omento";"1";"412040050";"MOBILIZACAO DE RETALHOS MUSCULARES / DO OMENTO"
"30601088";"Plumbagem extrafascial";"1";"412040069";"PLUMBAGEM EXTRAFASCIAL"
"30601134";"Ressecção de tumor do diafragma e reconstrução (qualquer técnica)";"1";"412040107";"RESSECÇÃO DE TUMOR DO DIAFRAGMA E RECONSTRUÇÃO (QUALQUER TECNICA)"
"30601142";"Retirada de corpo estranho da parede torácica";"1";"412040115";"RETIRADA DE CORPO ESTRANHO DA PAREDE TORÁCICA"
"30601169";"Toracoplastia (qualquer técnica)";"1";"412040158";"TORACOPLASTIA (QUALQUER TECNICA)"
"30601185";"Toracotomia exploradora (excluídos os procedimentos intratorácicos)";"1";"412040174";"TORACOTOMIA EXPLORADORA"
"30601215";"Tratamento cirúrgico de fraturas do gradil costal";"1";"412040204";"TRATAMENTO CIRURGICO DE FRATURAS DO GRADIL COSTAL"
"30602041";"Correção de inversão papilar - unilateral";"2";"410010103";"REVERSAO DE MAMILO INVERTIDO"
"30602050";"Drenagem de abscesso de mama";"1";"410010014";"DRENAGEM DE ABSCESSO DE MAMA"
"30602076";"Exérese de lesão da mama por marcação estereotáxica ou roll";"2";"416120040";"RESSECCAO DE LESAO NAO PALPAVEL DE MAMA COM MARCACAO EM ONCOLOGIA (POR MAMA)"
"30602084";"Exérese de mama supra-numerária - unilateral";"1";"410010030";"EXERESE DE MAMA SUPRANUMERARIA"
"30602092";"Exérese de nódulo";"2";"201010569";"BIOPSIA/EXERESE DE NODULO DE MAMA"
"30602114";"Ginecomastia - unilateral";"2";"410010081";"PLASTICA MAMARIA MASCULINA"
"30602130";"Linfadenectomia axilar";"2";"416020216";"LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA"
"30602157";"Mastectomia simples";"1";"410010065";"MASTECTOMIA SIMPLES"
"30602181";"Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama)";"2";"201010585";"PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA"
"30602190";"Quadrantectomia e linfadenectomia axilar";"2";"410010120";"SETORECTOMIA / QUADRANTECTOMIA C/ ESVAZIAMENTO GANGLIONAR"
"30602203";"Quadrantectomia - ressecção segmentar";"2";"410010111";"SETORECTOMIA / QUADRANTECTOMIA"
"30602335";"Biópsia percutânea com agulha grossa, em consultório";"2";"201010607";"PUNCAO DE MAMA POR AGULHA GROSSA"
"30701210";"Transplante miocutâneo com microanastomose";"2";"408060514";"TRANSPLANTE MÚSCULO-CUTÂNEO C/ MICRO-ANASTOMOSE NO TRONCO / EXTREMIDADE"
"30706017";"Reimplante do membro inferior do nível médio proximal da perna até a coxa";"2";"408050306";"REIMPLANTE AO NIVEL DA COXA ATE O TERCO PROXIMAL DA PERNA"
"30706025";"Reimplante do membro inferior do pé até o terço médio da perna";"2";"408050314";"REIMPLANTE DO TERCO MEDIO DA PERNA ATE O PE"
"30706033";"Reimplante do membro superior, do nível médio do antebraço até o ombro";"2";"408020253";"REIMPLANTE DO OMBRO ATÉ O TERÇO MÉDIO DO ANTEBRAÇO"
"30709024";"Tração cutânea";"2";"303090049";"INSTALACAO DE TRACAO CUTANEA"
"30710057";"Retirada de fixadores externos";"1";"408060360";"RETIRADA DE FIXADOR EXTERNO"
"30711029";"Imobilização de membro inferior";"2";"303090200";"TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM IMOBILIZAÇÃO"
"30711037";"Imobilização de membro superior";"2";"303090227";"TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO SUPERIOR COM IMOBILIZAÇÃO"
"30713064";"Manipulação articular sob anestesia geral";"1";"408060158";"MANIPULAÇÃO ARTICULAR"
"30713072";"Retirada de enxerto ósseo";"2";"408040211";"RETIRADA DE ENXERTO AUTÓGENO DE ILÍACO"
"30714010";"Corpo estranho intra-articular - tratamento cirúrgico";"2";"408060328";"RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR"
"30714028";"Corpo estranho intra-ósseo - tratamento cirúrgico";"2";"408060336";"RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO"
"30715083";"Derivação lombar externa";"2";"403010390";"DRENAGEM LIQUÓRICA LOMBAR EXTERNA"
"30715121";"Fratura de coluna sem gesso - tratamento conservador";"2";"303090243";"TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA S/ IMOBILIZACAO"
"30715296";"Tração cervical transesquelética";"2";"408030488";"INSTALAÇÃO DE TRAÇÃO CRANIANA"
"30715342";"Tratamento conservador do traumatismo raquimedular (por dia)";"1";"303040114";"TRATAMENTO CONSERVADOR DE TRAUMATISMO RAQUIMEDULAR"
"30715407";"Fratura de coluna com gesso - tratamento conservador";"2";"303090251";"TRATAMENTO CONSERVADOR DE LESÃO DE COLUNA TORACO-LOMBO-SACRA COM IMOBILIZAÇÃO"
"30717019";"Artrodese ao nível do ombro - tratamento cirúrgico";"2";"408010029";"ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-UMERAIS"
"30717027";"Artroplastia escápulo umeral com implante - tratamento cirúrgico";"2";"408010037";"ARTROPLASTIA ESCAPULO-UMERAL (NÃO CONVENCIONAL)"
"30717060";"Desarticulação ao nível do ombro - tratamento cirúrgico";"2";"408010070";"DESARTICULACAO DA ARTICULACAO ESCAPULO-UMERAL"
"30717086";"Fratura de cintura escapular - tratamento conservador";"1";"303090120";"TRATAMENTO CONSERVADOR  DE FRATURA  NA CINTURA ESCAPULAR  (COM IMOBILIZAÇÃO)"
"30717116";"Luxações crônicas inveteradas e recidivantes - tratamento cirúrgico - em articulação escápulo-umeral e cintura escapular";"2";"408010215";"TRATAMENTO CIRURGICO DE LUXACAO RECIDIVANTE / HABITUAL DE ARTICULACAO ESCAPULO-UMERAL"
"30717132";"Pseudartroses e/ou osteotomias da cintura escapular - tratamento cirúrgico";"2";"408010223";"TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA"
"30719100";"Fraturas e ou luxações - tratamento cirúrgico";"1";"408020547";"TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO"
"30720109";"Fratura e/ou luxações (incluindo descolamento epifisário) - redução incruenta";"2";"408020245";"REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO"
"30720141";"Ressecção da cabeça do rádio e/ ou da extremidade distal ulna - tratamento cirúrgico";"2";"408020091";"RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO"
"30720168";"Sinostose rádio-ulnar - tratamento cirúrgico";"1";"408020636";"TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR"
"30721075";"Artroplastia para ossos do carpo (com implante) - tratamento cirúrgico";"2";"408020040";"ARTROPLASTIA DE ARTICULAÇÃO DA MÃO"
