proc_rea,NOME_PROC,CO_FINANCIAMENTO,FONTE,VALIDO,VALOR_2020,VALOR_2021,VALOR_2022
0101020112,AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL,01,PAB,ATUA,10.619877,11.688237,12.364986
0101020120,ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS,01,PAB,ATUA,10.619877,11.688237,12.364986
0101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,01,PAB,ATUA,12.736426,14.017711,14.829336
0101030029,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR,01,PAB,ATUA,63.620244,70.02044,74.074624
0101040016,APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES,01,PAB,ATUA,7.624527,8.391555,8.877426
0101040024,AVALIAÇÃO ANTROPOMÉTRICA,01,PAB,ATUA,27.00766,29.72463,31.445687
0101040032,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),06,SIA,ATUA,3,3,3
0101040040,PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS),06,SIA,ATUA,11.06,11.06,11.06
0101040059,ADMINISTRAÇÃO DE VITAMINA A,01,PAB,ATUA,7.624527,8.391555,8.877426
0101040067,APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES,01,PAB,ATUA,7.624527,8.391555,8.877426
0101040075,MEDIÇÃO DE ALTURA,01,PAB,ATUA,5.248051,5.776005,6.110436
0101040083,MEDIÇÃO DE PESO,01,PAB,ATUA,5.248051,5.776005,6.110436
0101040091,DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS,01,PAB,ATUA,5.309939,5.844118,6.182493
0101040105,DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO ,01,PAB,ATUA,0,0,7.62
0101040113,DISPENSAÇÃO DE SUPLEMENTO DE FERRO,01,PAB,ATUA,0,0,7.62
0101050011,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,01,PAB,ATUA,38.308299,42.162113,44.6033
0101050020,TERAPIA COMUNITÁRIA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050038,DANÇA CIRCULAR/BIODANÇA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050046,YOGA,01,PAB,ATUA,38.308299,42.162113,44.6033
0101050054,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050062,SESSÃO DE ARTETERAPIA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050070,SESSÃO DE MEDITAÇÃO,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050089,SESSÃO DE MUSICOTERAPIA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050097,SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050100,SESSÃO DE BIODANÇA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050119,SESSÃO DE BIOENERGÉTICA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050127,SESSÃO DE CONSTELAÇÃO FAMILIAR,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050135,SESSÃO DE DANÇA CIRCULAR,01,PAB,ATUA,31.37691,34.533427,36.532913
0101050143,SESSÃO DE TERMALISMO,01,PAB,ATUA,31.37691,34.533427,36.532913
0102010013,APLICACAO DE  MULTA,07,NÃO,ATUA,0,0,0
0102010021,APLICACAO DE ADVERTENCIA,07,NÃO,ATUA,0,0,0
0102010030,APLICACAO DE INTERDICAO DE PRODUTO,07,NÃO,ATUA,0,0,0
0102010048,APLICACAO DE INTERDICAO PARCIAL / TOTAL DE ESTABELECIMENTO,07,NÃO,ATUA,0,0,0
0102010056,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO,07,NÃO,ATUA,0,0,0
0102010064,ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA,07,NÃO,ATUA,0,0,0
0102010072,CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,07,NÃO,ATUA,0,0,0
0102010080,CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE,07,NÃO,ATUA,0,0,0
0102010099,CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE,07,NÃO,ATUA,0,0,0
0102010102,COLETA DE AMOSTRA  P/ ANALISE DE CONTROLE,07,NÃO,ATUA,0,0,0
0102010110,COLETA DE AMOSTRA  P/ ANALISE FISCAL,07,NÃO,ATUA,0,0,0
0102010129,EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE,07,NÃO,ATUA,0,0,0
0102010137,EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE,07,NÃO,ATUA,0,0,0
0102010145,INSPEÇÃO SANITÁRIA DE HOSPITAIS,07,NÃO,ATUA,0,0,0
0102010153,INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS,07,NÃO,ATUA,0,0,0
0102010161,EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADAS.,07,NÃO,ATUA,0,0,0
0102010170,INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,07,NÃO,ATUA,0,0,0
0102010188,LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA,07,NÃO,ATUA,0,0,0
0102010196,APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA,07,NÃO,ATUA,0,0,0
0102010200,INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS,07,NÃO,ATUA,0,0,0
0102010218,INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE,07,NÃO,ATUA,0,0,0
0102010226,ATIVIDADE EDUCATIVA PARA A POPULAÇÃO,07,NÃO,ATUA,0,0,0
0102010234,RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES,07,NÃO,ATUA,0,0,0
0102010242,ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES,07,NÃO,ATUA,0,0,0
0102010250,CADASTRO DE HOSPITAIS,07,NÃO,ATUA,0,0,0
0102010269,LICENCIAMENTO SANITÁRIO DE HOSPITAIS,07,NÃO,ATUA,0,0,0
0102010277,CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,07,NÃO,ATUA,0,0,0
0102010285,INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,07,NÃO,ATUA,0,0,0
0102010293,LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS,07,NÃO,ATUA,0,0,0
0102010307,CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS,07,NÃO,ATUA,0,0,0
0102010315,INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS,07,NÃO,ATUA,0,0,0
0102010323,LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS,07,NÃO,ATUA,0,0,0
0102010331,CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA,07,NÃO,ATUA,0,0,0
0102010340,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.,07,NÃO,ATUA,0,0,0
0102010358,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA,07,NÃO,ATUA,0,0,0
0102010366,CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,07,NÃO,ATUA,0,0,0
0102010374,INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,07,NÃO,ATUA,0,0,0
0102010382,LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,07,NÃO,ATUA,0,0,0
0102010390,CADASTRO DE SERVIÇOS DE HEMOTERAPIA,07,NÃO,ATUA,0,0,0
0102010404,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA,07,NÃO,ATUA,0,0,0
0102010412,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA,07,NÃO,ATUA,0,0,0
0102010420,CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,07,NÃO,ATUA,0,0,0
0102010439,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,07,NÃO,ATUA,0,0,0
0102010447,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,07,NÃO,ATUA,0,0,0
0102010455,CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO,07,NÃO,ATUA,0,0,0
0102010463,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO,07,NÃO,ATUA,0,0,0
0102010471,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO,07,NÃO,ATUA,0,0,0
0102010480,"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS",07,NÃO,ATUA,0,0,0
0102010498,LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA,07,NÃO,ATUA,0,0,0
0102010501,"ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO",07,NÃO,ATUA,0,0,0
0102010510,"ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETOR REGULADO E A POPULAÇÃO",07,NÃO,ATUA,0,0,0
0102010528,INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,07,NÃO,ATUA,0,0,0
0102010536,CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,07,NÃO,ATUA,0,0,0
0102010544,CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,07,NÃO,ATUA,0,0,0
0102010552,CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,07,NÃO,ATUA,0,0,0
0102010560,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,07,NÃO,ATUA,0,0,0
0102010579,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,07,NÃO,ATUA,0,0,0
0102010587,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS,07,NÃO,ATUA,0,0,0
0102010595,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS,07,NÃO,ATUA,0,0,0
0102010609,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE,07,NÃO,ATUA,0,0,0
0102010617,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA,07,NÃO,ATUA,0,0,0
0102010625,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA,07,NÃO,ATUA,0,0,0
0102010633,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA,07,NÃO,ATUA,0,0,0
0102010641,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS,07,NÃO,ATUA,0,0,0
0102010650,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS,07,NÃO,ATUA,0,0,0
0102010668,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE,07,NÃO,ATUA,0,0,0
0102020019,VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES,05,NÃO,ATUA,0,0,0
0102020027,ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR,05,NÃO,ATUA,0,0,0
0102020035,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR,05,NÃO,ATUA,0,0,0
0201010011,AMNIOCENTESE,06,SIA,ATUA,2.2,2.2,2.2
0201010020,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,06,SIA,ATUA,14.1,14.1,14.1
0201010038,BIOPSIA CIRURGICA DE TIREOIDE,06,SIH,ATUA,200.56,200.56,200.56
0201010046,BIOPSIA DE ANUS E CANAL ANAL,06,SIA,ATUA,18.46,18.46,18.46
0201010054,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO,06,PAB,ATUA,71.15,78.30769,82.841705
0201010062,BIOPSIA DE BEXIGA,06,SIA,ATUA,41.68,41.68,41.68
0201010070,BIOPSIA DE BOLSA ESCROTAL,06,SIA,ATUA,18.33,18.33,18.33
0201010089,BIOPSIA DE CONDUTO AUDITIVO EXTERNO,06,SIA,ATUA,19.06,19.06,19.06
0201010097,BIOPSIA DE CONJUNTIVA,06,SIA,ATUA,31.1,31.1,31.1
0201010100,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL),06,SIA,ATUA,46.19,46.19,46.19
0201010119,BIOPSIA DE CORNEA,06,SIA,ATUA,68.62,68.62,68.62
0201010127,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO,06,SIH,ATUA,812.46,812.46,812.46
0201010135,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO),06,SIH,ATUA,278.61,278.61,278.61
0201010143,BIOPSIA DE ENDOCARDIO / MIOCARDIO,06,SIH,ATUA,709.26,709.26,709.26
0201010151,BIOPSIA DE ENDOMETRIO,06,SIA,ATUA,18.33,18.33,18.33
0201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA,06,SIA,ATUA,85.69,85.69,85.69
0201010178,BIOPSIA DE EPIDIDIMO,06,SIA,ATUA,46.19,46.19,46.19
0201010186,BIOPSIA DE ESCLERA,06,SIA,ATUA,68.62,68.62,68.62
0201010194,BIOPSIA DE FARINGE/LARINGE,06,SIA,ATUA,19.06,19.06,19.06
0201010208,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO,06,SIH,ATUA,197.59,197.59,197.59
0201010216,BIOPSIA DE FIGADO POR PUNCAO,06,SIA,ATUA,71.15,71.15,71.15
0201010224,BIOPSIA DE GANGLIO LINFATICO,06,SIA,ATUA,46.19,46.19,46.19
0201010232,BIÓPSIA DE GLÂNDULA SALIVAR,06,SIA,ATUA,31.27,31.27,31.27
0201010240,"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR",06,SIA,ATUA,199.21,199.21,199.21
0201010259,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO),06,SIH,ATUA,287.48,287.48,287.48
0201010267,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),06,SIA,ATUA,114.36,114.36,114.36
0201010275,BIOPSIA DE MEDULA OSSEA,06,SIA,ATUA,200,200,200
0201010283,BIOPSIA DE MUSCULO (A CEU ABERTO),06,SIA,ATUA,18.33,18.33,18.33
0201010291,BIOPSIA DE NERVO,06,SIA,ATUA,30.06,30.06,30.06
0201010305,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),06,SIA,ATUA,182.75,182.75,182.75
0201010313,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO),06,SIA,ATUA,183.39,183.39,183.39
0201010321,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),06,SIA,ATUA,188.78,188.78,188.78
0201010330,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),06,SIA,ATUA,188.26,188.26,188.26
0201010348,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE,06,SIA,ATUA,23.99,23.99,23.99
0201010356,BIOPSIA DE PALPEBRA,06,SIA,ATUA,18.33,18.33,18.33
0201010364,BIOPSIA DE PAVILHAO AURICULAR,06,SIA,ATUA,14.66,14.66,14.66
0201010372,BIOPSIA DE PELE E PARTES MOLES,06,SIA,ATUA,25.83,25.83,25.83
0201010380,BIOPSIA DE PENIS,06,SIA,ATUA,18.33,18.33,18.33
0201010399,BIOPSIA DE PIRAMIDE NASAL,06,SIA,ATUA,18.33,18.33,18.33
0201010402,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA),06,SIA,ATUA,113.68,113.68,113.68
0201010410,BIÓPSIA DE PRÓSTATA VIA TRANSRETAL,06,SIA,ATUA,92.38,202.81,202.81
0201010429,BIOPSIA DE PULMAO POR ASPIRACAO,06,PAB,ATUA,71.15,78.30769,82.841705
0201010437,BIOPSIA DE RIM POR PUNCAO,06,SIA,ATUA,46.19,46.19,46.19
0201010445,BIOPSIA DE SEIO PARANASAL,06,SIA,ATUA,18.33,18.33,18.33
0201010453,BIOPSIA DE SINÓVIA,06,SIA,ATUA,30.06,30.06,30.06
0201010461,BIOPSIA DE TESTICULO,06,SIA,ATUA,46.19,46.19,46.19
0201010470,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,06,SIA,ATUA,23.73,23.73,23.73
0201010488,BIOPSIA DE URETER,06,SIA,ATUA,46.19,46.19,46.19
0201010496,BIOPSIA DE URETRA,06,SIA,ATUA,46.19,46.19,46.19
0201010500,BIOPSIA/PUNÇÃO DE VAGINA,06,SIA,ATUA,18.33,18.33,18.33
0201010518,BIOPSIA/PUNÇÃO DE VULVA,06,SIA,ATUA,18.33,18.33,18.33
0201010526,BIÓPSIA DOS TECIDOS MOLES DA BOCA,06,SIA,ATUA,21.56,21.56,21.56
0201010534,BIOPSIA ESTEREOTAXICA,06,SIH,ATUA,1744.53,1744.53,1744.53
0201010542,BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X,06,SIA,ATUA,97,97,97
0201010550,BIOPSIA PRÉ-ESCALÊNICA,06,SIH,ATUA,178.23,178.23,178.23
0201010569,BIOPSIA/EXERESE DE NÓDULO DE MAMA,06,SIA,ATUA,70,70,70
0201010577,BIOPSIAS MULTIPLAS P/ ESTADIAMENTO,06,SIH,2012,3034.53,3034.53,3034.53
0201010585,PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA,06,SIA,ATUA,66.48,66.48,66.48
0201010593,PUNÇÃO DE CISTERNA SUB-OCCIPITAL,06,SIA,ATUA,7.04,7.04,7.04
0201010607,PUNÇÃO DE MAMA POR AGULHA GROSSA,06,SIA,ATUA,140,140,140
0201010615,PUNÇÃO DE VAGINA,06,SIA,ATUA,14.1,14.1,14.1
0201010623,PUNÇÃO EXPLORADORA DO DEFERENTE,06,SIA,ATUA,14.1,14.1,14.1
0201010631,PUNÇÃO LOMBAR,06,SIA,ATUA,7.04,7.04,7.04
0201010640,PUNÇÃO P/ ESVAZIAMENTO,06,SIA,ATUA,13.25,13.25,13.25
0201010658,PUNÇÃO VENTRICULAR TRANSFONTANELA,06,SIA,ATUA,7.04,7.04,7.04
0201010666,BIOPSIA DO COLO UTERINO,06,SIA,ATUA,18.33,18.33,18.33
0201020017,COLETA DE LAVADO BRONCO-ALVEOLAR,06,SIA,ATUA,2.8,2.8,2.8
0201020025,COLETA DE LINFA PARA PESQUISA DE M. LEPRAE,01,PAB,ATUA,30.683771,33.770559,35.725874
0201020033,COLETA DE MATERIAL DO COLO DE ÚTERO PARA EXAME CITOPATOLÓGICO,01,PAB,ATUA,5.755528,6.334534,6.701304
0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,01,PAB,ATUA,5.755528,6.334534,6.701304
0201020050,COLETA DE SANGUE PARA TRIAGEM NEONATAL,01,PAB,ATUA,5.755528,6.334534,6.701304
0201020068,COLETA DE SANGUE PARA TIPIFICAÇÃO DO ALELO HLA-B,06,PAB,ATUA,80,88.048,93.145979
0202010015,CLEARANCE OSMOLAR,06,SIA,ATUA,3.51,3.51,3.51
0202010023,DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,06,SIA,ATUA,2.01,2.01,2.01
0202010031,DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,06,SIA,ATUA,15.65,15.65,15.65
0202010040,DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),06,SIA,ATUA,3.63,3.63,3.63
0202010058,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS),06,SIA,ATUA,6.55,6.55,6.55
0202010066,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS),06,SIA,ATUA,3.68,3.68,3.68
0202010074,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),06,SIA,ATUA,10,10,10
0202010082,DETERMINACAO DE OSMOLARIDADE,06,SIA,ATUA,3.51,3.51,3.51
0202010090,DOSAGEM DE 5-NUCLEOTIDASE,06,SIA,ATUA,3.51,3.51,3.51
0202010104,DOSAGEM DE ACETONA,06,SIA,ATUA,1.85,1.85,1.85
0202010112,DOSAGEM DE ACIDO ASCORBICO,06,SIA,ATUA,2.01,2.01,2.01
0202010120,DOSAGEM DE ACIDO URICO,06,SIA,ATUA,1.85,1.85,1.85
0202010139,DOSAGEM DE ACIDO VANILMANDELICO,06,SIA,ATUA,9,9,9
0202010147,DOSAGEM DE ALDOLASE,06,SIA,ATUA,3.68,3.68,3.68
0202010155,DOSAGEM DE ALFA-1-ANTITRIPSINA,06,SIA,ATUA,3.68,3.68,3.68
0202010163,DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,06,SIA,ATUA,3.68,3.68,3.68
0202010171,DOSAGEM DE ALFA-2-MACROGLOBULINA,06,SIA,ATUA,3.68,3.68,3.68
0202010180,DOSAGEM DE AMILASE,06,SIA,ATUA,2.25,2.25,2.25
0202010198,DOSAGEM DE AMONIA,06,SIA,ATUA,3.51,3.51,3.51
0202010201,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,06,SIA,ATUA,2.01,2.01,2.01
0202010210,DOSAGEM DE CALCIO,06,SIA,ATUA,1.85,1.85,1.85
0202010228,DOSAGEM DE CALCIO IONIZAVEL,06,SIA,ATUA,3.51,3.51,3.51
0202010236,DOSAGEM DE CAROTENO,06,SIA,ATUA,2.01,2.01,2.01
0202010244,DOSAGEM DE CATECOLAMINAS,06,NÃO,ATUA,0,0,0
0202010252,DOSAGEM DE CERULOPLASMINA,06,SIA,ATUA,3.68,3.68,3.68
0202010260,DOSAGEM DE CLORETO,06,SIA,ATUA,1.85,1.85,1.85
0202010279,DOSAGEM DE COLESTEROL HDL,06,SIA,ATUA,3.51,3.51,3.51
0202010287,DOSAGEM DE COLESTEROL LDL,06,SIA,ATUA,3.51,3.51,3.51
0202010295,DOSAGEM DE COLESTEROL TOTAL,06,SIA,ATUA,1.85,1.85,1.85
0202010309,DOSAGEM DE COLINESTERASE,06,SIA,ATUA,3.68,3.68,3.68
0202010317,DOSAGEM DE CREATININA,06,SIA,ATUA,1.85,1.85,1.85
0202010325,DOSAGEM DE CREATINOFOSFOQUINASE (CPK),06,SIA,ATUA,3.68,3.68,3.68
0202010333,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,06,SIA,ATUA,4.12,4.12,4.12
