codigo_procedimento_sigtap;codigo_sha;ds_sha_pt
201010623;HC.1.3.3 ;Atenção ambulatorial especializada
201010631;HC.1.3.3 ;Atenção ambulatorial especializada
201010640;HC.1.3.3 ;Atenção ambulatorial especializada
201010658;HC.1.3.3 ;Atenção ambulatorial especializada
201010666;HC.1.3.3 ;Atenção ambulatorial especializada
201020017;HC.1.3.1 ;Atenção curativa ambulatorial básica
201020025;HC.1.3.1 ;Atenção curativa ambulatorial básica
201020033;HC.6.3 ;Programas para detecção precoce de doenças
201020041;HC.1.3.1 ;Atenção curativa ambulatorial básica
201020050;HC.6.3 ;Programas para detecção precoce de doenças
201020068;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010015;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010023;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010031;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010040;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010058;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010066;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010074;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010082;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010090;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010104;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010112;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010120;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010139;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010147;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010155;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010163;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010171;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010180;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010198;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010201;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010210;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010228;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010236;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010244;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010252;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010260;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010279;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010287;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010295;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010309;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010317;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010325;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010333;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010341;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010350;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010368;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010376;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010384;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010392;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010406;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010414;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010422;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010430;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010449;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010457;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010465;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010473;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010481;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010490;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010503;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010511;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010520;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010538;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010546;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010554;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010562;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010570;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010589;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010597;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010600;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010619;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010627;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010635;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010643;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010651;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010660;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010678;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010686;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010694;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010708;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010716;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010724;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010732;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010740;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010759;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010767;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010775;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202010783;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020010;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020029;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020037;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020045;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020053;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020061;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020070;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020088;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020096;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020100;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020118;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020126;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020134;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020142;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020150;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020169;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020177;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020185;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020193;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020207;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020215;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020223;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020231;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020240;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020258;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020266;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020274;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020282;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020290;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020304;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020312;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020320;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020339;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020347;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020355;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020363;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020371;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020380;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020398;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020401;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020410;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020428;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020436;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020444;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020452;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020460;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020479;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020487;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020495;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020509;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020517;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020525;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020533;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202020541;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030016;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030024;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030032;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030040;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030059;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030067;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030075;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030083;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030091;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030105;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030113;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030121;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030130;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030148;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030156;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030164;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030172;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030180;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030199;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030202;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030210;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030229;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030237;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030245;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030253;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030261;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030270;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030288;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030296;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030300;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030318;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030326;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030334;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030342;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030350;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030369;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030377;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030385;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030393;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030407;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030415;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030423;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030431;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030440;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030458;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030466;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030474;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030482;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030490;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030504;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030512;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030520;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030539;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030547;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030555;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030563;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030571;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030580;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030598;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030601;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030610;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030628;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030636;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030644;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030652;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030660;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030679;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030687;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030695;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030709;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030717;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030725;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030733;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030741;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030750;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030768;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030776;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030784;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030792;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030806;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030814;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030822;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030830;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030849;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030857;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030865;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030873;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030881;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030890;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030903;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030911;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030920;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030938;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030946;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030954;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030962;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030970;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030989;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
202030997;HC.4.1 ;Exames laboratoriais clinicos e anatomopatologicos
